index,file,Start,Stop,EPI,EPI_NEXT,Class
1,a_12,740435,743868,HAS,HVF,0
2,a_150,213064,215004,HAS,HPE,1
3,a_151,833774,848225,HAS,HPE,1
4,a_151,912870,924651,HAS,HPE,1
5,a_151,968007,994444,HAS,HPE,1
6,a_153,926984,1024358,HAS,HPE,1
8,a_172,184588,199166,HAS,HPE,1
9,a_173,1078191,1086532,HAS,HPR,0
10,a_176,272120,274291,HAS,HPE,1
11,a_18,418247,428067,HAS,HPE,1
12,a_181,889491,896242,HAS,HPE,1
13,a_182,647584,667744,HAS,HPE,1
15,a_183,61414,82191,HAS,HPE,1
17,a_20,336016,337737,HAS,HPE,1
18,a_20,447155,449125,HAS,HPE,1
19,a_21,106330,111250,HAS,HPE,1
20,a_21,207433,210332,HAS,HPE,1
21,a_23,168833,170568,HAS,HVF,0
22,a_23,664028,718760,HAS,HVF,0
23,a_23,819964,824566,HAS,HPE,1
24,a_23,831422,856625,HAS,HVT,0
25,a_24,419864,424454,HAS,HPE,1
26,a_25,319239,322927,HAS,HPE,1
27,a_27,889300,898741,HAS,HVT,0
28,a_27,921487,929425,HAS,HPE,1
29,a_270,361802,371586,HAS,HPE,1
30,a_270,453870,529971,HAS,HPE,1
31,a_276,308622,321818,HAS,HPR,0
32,a_276,344030,353297,HAS,HPE,1
33,a_281,119134,126799,HAS,HPE,1
34,a_282,16335,19694,HAS,HVF,0
35,a_287,115055,117845,HAS,HVF,0
36,a_288,1214815,1217929,HAS,HPE,1
38,a_291,150860,155737,HAS,HPE,1
39,a_291,475675,481739,HAS,HPE,1
40,a_291,702127,704115,HAS,HPE,1
41,a_295,318427,322946,HAS,HVF,0
42,a_297,110254,118069,HAS,HPE,1
43,a_301,388229,389942,HAS,HPE,1
44,a_302,55267,57858,HAS,HVF,0
45,a_39,225934,228689,HAS,HPE,1
46,a_39,341297,345113,HAS,HVF,0
47,a_39,449588,451841,HAS,HVF,0
48,a_39,1135130,1136851,HAS,HVF,0
49,a_41,159549,161660,HAS,HVF,0
50,a_42,468026,473257,HAS,HPE,1
51,a_42,478033,479981,HAS,HVF,0
52,a_42,609789,618815,HAS,HVF,0
53,a_5,919595,933966,HAS,HPE,1
54,a_9,745512,771008,HAS,HPE,1
55,a_9,796466,827311,HAS,HPE,1
56,a_9,872050,954325,HAS,HPE,1
57,l_197,261736,264892,HAS,HPE,1
58,l_199,676945,686756,HAS,HPE,1
59,l_199,697513,709393,HAS,HPE,1
61,l_200,238220,245507,HAS,HVF,0
62,l_216,161136,171422,HAS,HVF,0
63,l_220,14927,19916,HAS,HVF,0
65,l_220,107677,111862,HAS,HVF,0
66,l_220,743768,746237,HAS,HVF,0
67,l_220,802863,810473,HAS,HVF,0
68,l_226,1429,11550,HAS,HVF,0
69,l_226,64926,82723,HAS,HVF,0
70,l_226,228543,238003,HAS,HPE,1
71,l_226,342975,347221,HAS,HVF,0
72,l_226,423140,426787,HAS,HVT,0
73,l_226,523712,531006,HAS,HVF,0
74,l_313,991034,996717,HAS,HVF,0
75,l_313,1172472,1179264,HAS,HVT,0
76,l_315,38374,39949,HAS,HPE,1
77,l_319,310533,333291,HAS,HPE,1
78,l_319,576454,581574,HAS,HPE,1
79,l_322,68867,70692,HAS,HPE,1
80,l_322,303834,307410,HAS,HVF,0
81,l_322,316769,321325,HAS,HPE,1
82,l_322,676982,682480,HAS,HPE,1
83,l_323,14974,23736,HAS,HPE,1
84,l_323,120731,125563,HAS,HVF,0
85,l_326,92864,95786,HAS,HVF,0
86,l_326,124768,130130,HAS,HVF,0
88,l_331,725350,732287,HAS,HPE,1
89,l_332,442794,447049,HAS,HPE,1
91,l_334,359383,379918,HAS,HPE,1
92,l_334,684865,698622,HAS,HPE,1
93,l_335,202303,208273,HAS,HPE,1
94,l_335,283247,300374,HAS,HPE,1
95,l_335,603299,606256,HAS,HPE,1
96,l_335,921349,924538,HAS,HVF,0
97,l_343,797852,804911,HAS,HPE,1
98,l_345,2967,11685,HAS,HVF,0
99,l_345,15336,17777,HAS,HVF,0
100,l_345,27578,33449,HAS,HVF,0
101,l_345,53013,59727,HAS,HVF,0
102,l_44,109622,111200,HAS,HPE,1
103,l_48,701,12365,HAS,HPE,1
104,l_49,8485,14104,HAS,HVF,0
105,l_49,112280,118324,HAS,HVF,0
