index,file,EPI,Start,Stop,epi1,epi2,epi3,start1,start2,start3,stop1,stop2,stop3
0,S_1,HVF,11189,19352,DVF,HVF,HAS,19353,20193,21273,20192,21272,22846
1,S_1,HVF,87942,98341,DVF,HVF,HAS,98342,99183,99798,99182,99797,110361
2,S_1,HVF,216520,224252,DVF,HVF,HAS,224253,225093,225846,225092,225845,233027
3,S_1,HVF,311663,324771,DVF,HVF,HAS,324772,325613,326261,325612,326260,336096
4,a_2,HVF,81103,88484,DVF,HVF,HPE,88485,89326,89910,89325,89909,93133
5,a_2,HVF,422639,428891,DVF,HVF,HPE,428892,429736,430615,429735,430614,433345
6,a_2,HVF,534002,538568,DVF,HVF,HPE,538569,539411,539951,539410,539950,555393
7,a_2,HVF,1148380,1190708,DVF,HVF,HAS,1190709,1191551,1191957,1191550,1191956,1195000
8,a_6,HVF,94696,102390,DVF,HVF,HAS,102391,103235,103657,103234,103656,107475
9,a_7,HVT,530617,541517,DVT,HVT,HPE,541518,542346,542660,542345,542659,543327
10,a_7,HVT,543328,549584,DVT,HVT,HPE,549585,550426,550545,550425,550544,551651
11,a_8,HVF,444788,467946,DVF,HVF,HPE,467947,468787,469242,468786,469241,471507
12,a_8,HVF,525511,532942,DVF,HVF,HPE,532943,533772,534072,533771,534071,548187
13,a_8,HVT,652482,666146,DVT,HVT,HPR,666147,666987,667024,666986,667023,840000
14,a_10,HVF,235347,247092,DVF,HVF,HAS,247093,247920,248473,247919,248472,251201
15,a_10,HVF,343097,349169,DVF,HVF,HAS,349170,350010,350581,350009,350580,355438
16,a_10,HVF,478915,483082,DVF,HVF,HPE,483083,483910,484303,483909,484302,503734
17,a_10,HVF,503735,510814,DVF,HVF,HPE,510815,511660,511757,511659,511756,517689
18,a_11,HVF,111332,123981,DVF,HVF,HAS,123982,124822,125572,124821,125571,126899
19,a_11,HAS,125572,126899,DAS,HAS,HVF,126900,127742,128356,127741,128355,132447
20,a_11,HVF,128356,132447,DVF,HVF,HAS,132448,133292,133928,133291,133927,146359
21,a_11,HVF,256353,262944,DVF,HVF,HAS,262945,263787,264393,263786,264392,265275
22,a_11,HVF,265276,268571,DVF,HVF,HAS,268572,269397,269616,269396,269615,270173
23,a_11,HVF,320682,324974,DVF,HVF,HPE,324975,325817,326347,325816,326346,334758
24,a_11,HVF,381757,382631,DVF,HVF,HPE,382632,383472,383887,383471,383886,406717
25,a_11,HVF,551433,562736,DVF,HVF,HPE,562737,563577,564255,563576,564254,565987
26,a_11,HVF,696507,731257,DVF,HVF,HPE,731258,732097,732799,732096,732798,739384
27,a_11,HVF,774250,784126,DVF,HVF,HPE,784127,784967,785538,784966,785537,790088
28,a_11,HVF,838272,847081,DVF,HVF,HPE,847082,847912,848675,847911,848674,869441
29,a_11,HVF,912346,917020,DVF,HVF,HPE,917021,917847,918462,917846,918461,929778
30,a_11,HVF,1131966,1138676,DVF,HVF,HAS,1138677,1139517,1139929,1139516,1139928,1241460
31,a_12,HVF,263998,268461,DVF,HVF,HPE,268462,269305,269773,269304,269772,273774
32,a_12,HVF,336985,340374,DVF,HVF,HPE,340375,341215,341533,341214,341532,344022
33,a_12,HVF,344023,346402,DVF,HVF,HPE,346403,347245,347577,347244,347576,358352
34,a_12,HVF,386455,389228,DVF,HVF,HPE,389229,390055,390328,390054,390327,391534
35,a_12,HVF,466275,469334,DVF,HVF,HAS,469335,470175,470404,470174,470403,475423
36,a_12,HVF,567327,573278,DVF,HVF,HAS,573279,574120,574459,574119,574458,575070
37,a_12,HVF,688815,691806,DVF,HVF,HAS,691807,692635,692805,692634,692804,694039
38,a_12,HVF,694040,698414,DVF,HVF,HAS,698415,699255,699485,699254,699484,700209
39,a_12,HVF,732759,739361,DVF,HVF,HAS,739362,740205,740435,740204,740434,743868
40,a_12,HVF,749915,753776,DVF,HVF,HAS,753777,754620,754862,754619,754861,759062
41,a_12,HVF,824447,830603,DVF,HVF,HPE,830604,831430,832522,831429,832521,856299
42,a_12,HVF,955190,957875,DVF,HVF,HPE,957876,958720,959064,958719,959063,965308
43,a_12,HVF,1064580,1066872,DVF,HVF,HAS,1066873,1067715,1067949,1067714,1067948,1089349
44,a_12,HVF,1089350,1139221,DVF,HVF,HAS,1139222,1140065,1140252,1140064,1140251,1335274
45,a_13,HVF,72699,82351,DVF,HVF,HAS,82352,83192,83746,83191,83745,91465
46,a_13,HVF,424750,434346,DVF,HVF,HPE,434347,435172,435510,435171,435509,443249
47,a_13,HVF,530353,538655,DVF,HVF,HPE,538656,539482,539764,539481,539763,542641
48,a_14,HVF,96115,102480,DVF,HVF,HAS,102481,103320,103786,103319,103785,106831
49,a_14,HVT,200887,208259,DVT,HVT,HAS,208260,209100,209421,209099,209420,212152
50,a_14,HVT,311458,317872,DVT,HVT,HAS,317873,318715,318904,318714,318903,322335
51,a_14,HVF,424930,430844,DVF,HVF,HAS,430845,431685,431794,431684,431793,433168
52,a_17,HVF,103144,109494,DVF,HVF,HAS,109495,110322,111582,110321,111581,115081
53,a_17,HPE,651792,655332,DPE,HPE,HVT,655333,656172,656430,656171,656429,656975
54,a_17,HPE,756493,763160,DPE,HPE,HVT,763161,764002,764399,764001,764398,773455
55,a_17,HVT,764399,773450,DVT,HVT,HPE,773451,774277,774486,774276,774485,777940
56,a_18,HVF,96160,100481,DVF,HVF,HPE,100482,101325,101877,101324,101876,110448
57,a_18,HVF,296658,301042,DVF,HVF,HPE,301043,301885,302634,301884,302633,318369
58,a_18,HVF,407424,411164,DVF,HVF,HPE,411165,412005,412720,412004,412719,414515
59,a_18,HVT,514892,524255,DVT,HVT,HPE,524256,525085,525956,525084,525955,562756
60,a_19,HVF,68981,78405,DVF,HVF,HPE,78406,79249,79661,79248,79660,88191
61,a_19,HVF,122119,139834,DVF,HVF,HPE,139835,140679,141088,140678,141087,143749
62,a_19,HVF,230189,234665,DVF,HVF,HPE,234666,235494,236060,235493,236059,239917
63,a_20,HVF,118588,126025,DVF,HVF,HAS,126026,126866,127217,126865,127216,131327
64,a_20,HVF,220718,226145,DVF,HVF,HPE,226146,226986,227516,226985,227515,234813
65,a_20,HVF,325921,334723,DVF,HVF,HAS,334724,335566,336016,335565,336015,337737
66,a_20,HVF,440844,446078,DVF,HVF,HAS,446079,446921,447155,446920,447154,449125
67,a_20,HVF,665349,670616,DVF,HVF,HPE,670617,671461,671961,671460,671960,679848
68,a_21,HVF,95115,100201,DVF,HVF,HAS,100202,101045,101256,101044,101255,105489
69,a_21,HVF,201974,206055,DVF,HVF,HAS,206056,206900,207433,206899,207432,210337
70,a_21,HAS,207433,210332,DAS,HAS,HPE,210333,211160,211377,211159,211376,226346
71,a_21,HVF,317815,321070,DVF,HVF,HPE,321071,321900,321930,321899,321929,324734
72,a_21,HVF,446173,449907,DVF,HVF,HAS,449908,450735,451115,450734,451114,456057
73,a_22,HVF,100355,118504,DVF,HVF,HAS,118505,119347,119891,119346,119890,142500
74,a_23,HVF,429016,436262,DVF,HVF,HAS,436263,437106,437592,437105,437591,440575
75,a_23,HVF,553162,558712,DVF,HVF,HPE,558713,559556,560204,559555,560203,563033
76,a_23,HVF,646473,651951,DVF,HVF,HAS,651952,652796,653461,652795,653460,654774
77,a_23,HVF,803303,818824,DVF,HVF,HAS,818825,819666,819964,819665,819963,824566
