index,file,EPI,Start,Stop,epi1,epi2,epi3,start1,start2,start3,stop1,stop2,stop3,override_function,override_reason,valid
9,a_7,HVT,530617,541517,DVT,HVT,HPE,541518,542346,542660,542345,542659,543327,shift_transition,overlap with DFB,true
12,a_8,HVF,525511,532942,DVF,HVF,HPE,532943,533772,534072,533771,534071,548187,shift_transition,overlap with DFB,true
14,a_10,HVF,235347,247092,DVF,HVF,HAS,247093,247920,248473,247919,248472,251201,shift_transition,overlap with DFB,true
16,a_10,HVF,478915,483082,DVF,HVF,HPE,483083,483910,484303,483909,484302,503734,shift_transition,overlap with DFB,true
22,a_11,HVF,265276,268571,DVF,HVF,HAS,268572,269397,269616,269396,269615,270173,shift_transition,overlap with DFB,true
28,a_11,HVF,838272,847081,DVF,HVF,HPE,847082,847912,848675,847911,848674,869441,shift_transition,overlap with DFB,true
29,a_11,HVF,912346,917020,DVF,HVF,HPE,917021,917847,918462,917846,918461,929778,shift_transition,overlap with DFB,true
34,a_12,HVF,386455,389228,DVF,HVF,HPE,389229,390055,390328,390054,390327,391534,shift_transition,overlap with DFB,true
37,a_12,HVF,688815,691806,DVF,HVF,HAS,691807,692635,692805,692634,692804,694039,shift_transition,overlap with DFB,true
41,a_12,HVF,824447,830603,DVF,HVF,HPE,830604,831430,832522,831429,832521,856299,shift_transition,overlap with DFB,true
46,a_13,HVF,424750,434346,DVF,HVF,HPE,434347,435172,435510,435171,435509,443249,shift_transition,overlap with DFB,true
47,a_13,HVF,530353,538655,DVF,HVF,HPE,538656,539482,539764,539481,539763,542641,shift_transition,overlap with DFB,true
52,a_17,HVF,103144,109494,DVF,HVF,HAS,109495,110322,111582,110321,111581,115081,shift_transition,overlap with DFB,true
55,a_17,HVT,764399,773450,DVT,HVT,HPE,773451,774277,774486,774276,774485,777940,shift_transition,overlap with DFB,true
59,a_18,HVT,514892,524255,DVT,HVT,HPE,524256,525085,525956,525084,525955,562756,shift_transition,overlap with DFB,true
62,a_19,HVF,230189,234665,DVF,HVF,HPE,234666,235494,236060,235493,236059,239917,shift_transition,overlap with DFB,true
70,a_21,HAS,207433,210332,DAS,HAS,HPE,210333,211160,211377,211159,211376,226346,shift_transition,overlap with DFB,true
71,a_21,HVF,317815,321070,DVF,HVF,HPE,321071,321900,321930,321899,321929,324734,shift_transition,overlap with DFB,true
72,a_21,HVF,446173,449907,DVF,HVF,HAS,449908,450735,451115,450734,451114,456057,shift_transition,overlap with DFB,true
99,a_26,HVF,160690,169930,DVF,HVF,HPE,169931,170760,171353,170759,171352,173805,shift_transition,overlap with DFB,true
101,a_27,HVF,142604,144191,DVF,HVF,HAS,144192,145019,145849,145018,145848,148393,shift_transition,overlap with DFB,true
103,a_27,HPR,260411,281680,DPR,HPR,HPE,281681,282509,283205,282508,283204,290845,shift_transition,overlap with DFB,true
105,a_27,HVF,755592,760070,DVF,HVF,HAS,760071,760914,761003,760913,761002,762543,shift_start,contains unannotated shock,true
110,a_28,HVF,403363,406351,DVF,HVF,HAS,406352,407182,407310,407181,407309,409440,shift_transition,overlap with DFB,true
112,a_29,HVF,48401,61793,DVF,HVF,HAS,61794,62622,62988,62621,62987,67388,shift_transition,overlap with DFB,true
116,a_34,HVF,8510,96963,DVF,HVF,HAS,96964,97792,99288,97791,99287,103510,shift_transition,overlap with DFB,true
117,a_34,HVF,420330,425807,DVF,HVF,HPR,425808,426637,427193,426636,427192,657634,shift_transition,overlap with DFB,true
125,a_37,HVF,109994,113887,DVF,HVF,HAS,113888,114717,115373,114716,115372,118958,shift_transition,overlap with DFB,true
126,a_38,HVF,429005,436757,DVF,HVF,HPR,436758,437584,438186,437583,438185,448921,shift_transition,overlap with DFB,true
133,a_38,HVF,640133,645673,DVF,HVF,HPR,645674,646499,646641,646498,646640,654094,shift_transition,overlap with DFB,true
142,a_39,HPE,110421,115504,DPE,HPE,HVF,115505,116331,116749,116330,116748,120759,shift_transition,overlap with DFB,true
143,a_39,HVF,217192,224696,DVF,HVF,HAS,224697,225521,225934,225520,225933,228689,shift_transition,overlap with DFB,true
147,a_39,HVF,345987,348931,DVF,HVF,HAS,348932,349761,349917,349760,349916,352582,shift_transition,overlap with DFB,true
148,a_39,HVF,441253,448652,DVF,HVF,HAS,448653,449481,449588,449480,449587,451841,shift_transition,overlap with DFB,true
164,l_45,HVF,100461,107029,DVF,HVF,HPE,107030,107857,108427,107856,108426,111802,shift_transition,overlap with DFB,true
168,l_46,HVF,223345,236391,DVF,HVF,HAS,236392,237219,237887,237218,237886,246234,shift_transition,overlap with DFB,true
169,l_46,HVF,308487,312789,DVF,HVF,HPE,312790,313619,314008,313618,314007,316379,shift_transition,overlap with DFB,true
170,l_46,HVF,351610,361525,DVF,HVF,HAS,361526,362354,362795,362353,362794,371393,shift_transition,overlap with DFB,true
171,l_46,HVF,437792,451640,DVF,HVF,HPR,451641,452469,452527,452468,452526,474985,shift_transition,overlap with DFB,true
172,l_46,HVF,568589,579113,DVF,HVF,HPR,579114,579939,580005,579938,580004,582503,shift_transition,overlap with DFB,true
173,l_47,HVF,4761,13446,DVF,HVF,HAS,13447,14275,14774,14274,14773,21282,shift_transition,overlap with DFB,true
176,l_49,HVF,34,6824,DVF,HVF,HAS,6825,7652,8485,7651,8484,14104,shift_transition,overlap with DFB,true
177,l_49,HVF,41198,110684,DVF,HVF,HAS,110685,111512,112280,111511,112279,118324,shift_transition,overlap with DFB,true
178,l_49,HVF,132920,142674,DVF,HVF,HAS,142675,143502,144097,143501,144096,146547,shift_transition,overlap with DFB,true
180,l_50,HVF,287882,297765,DVF,HVF,HAS,297766,298592,298990,298591,298989,311951,shift_transition,overlap with DFB,true
181,l_50,HVF,383860,385240,DVF,HVF,HPE,385241,386067,386325,386066,386324,391434,shift_transition,overlap with DFB,true
182,l_50,HVF,397517,407747,DVF,HVF,HPE,407748,408572,408838,408571,408837,411794,shift_transition,overlap with DFB,true
183,l_52,HVF,1,468,DVF,HVF,HAS,469,1294,2571,1293,2570,6721,shift_transition,overlap with DFB,true
193,l_56,HVF,530048,540120,DVF,HVF,HAS,540121,540948,541616,540947,541615,588514,shift_transition,overlap with DFB,true
194,l_58,HVF,9162,13932,DVF,HVF,HPE,13933,14776,15407,14775,15406,348490,shift_start,contains unannotated shock,true
200,l_60,HVF,348929,358072,DVF,HVF,HPE,358073,358902,359060,358901,359059,360373,shift_transition,overlap with DFB,true
201,l_60,HVF,360374,369169,DVF,HVF,HPE,369170,369997,370101,369996,370100,372384,shift_transition,overlap with DFB,true
202,l_60,HVF,422958,439946,DVF,HVF,HPE,439947,440772,440945,440771,440944,496132,shift_transition,overlap with DFB,true
203,l_61,HVT,613205,622096,DVT,HVT,HAS,622097,622925,623245,622924,623244,626083,shift_transition,overlap with DFB,true
204,l_62,HVF,213690,225258,DVF,HVF,HAS,225259,226085,226504,226084,226503,237425,shift_transition,overlap with DFB,true
210,l_63,HVF,835744,844018,DVF,HVF,HPE,844019,844844,845335,844843,845334,856379,shift_transition,overlap with DFB,true
212,l_65,HVF,605529,622949,DVF,HVF,HPE,622950,623776,624335,623775,624334,627303,shift_transition,overlap with DFB,true
214,l_66,HVF,1,2613,DVF,HVF,HAS,2614,3443,4400,3442,4399,21518,shift_transition,overlap with DFB,true
216,l_66,HVF,113756,127315,DVF,HVF,HPE,127316,128143,128931,128142,128930,145652,shift_transition,overlap with DFB,true
224,l_67,HVF,66317,74266,DVF,HVF,HPE,74267,75093,75724,75092,75723,98460,shift_transition,overlap with DFB,true
233,s_78,HVF,158137,171066,DVF,HVF,HAS,171067,171897,173014,171896,173013,184691,shift_transition,overlap with DFB,true
237,s_79,HVF,704660,714675,DVF,HVF,HPE,714676,715506,716342,715505,716341,727426,shift_transition,overlap with DFB,true
240,s_80,HVT,230003,239619,DVT,HVT,HPE,239620,240448,241407,240447,241406,241784,shift_transition,overlap with DFB,true
241,s_81,HVF,289846,298840,DVF,HVF,HPE,298841,299669,300127,299668,300126,307053,shift_transition,overlap with DFB,true
244,s_81,HVF,746179,759071,DVF,HVF,HPE,759072,759899,760839,759898,760838,790634,shift_transition,overlap with DFB,true
247,s_81,HVF,994880,1009203,DVF,HVF,HPE,1009204,1010029,1010429,1010028,1010428,1020272,shift_transition,overlap with DFB,true
252,s_82,HVF,264787,280002,DVF,HVF,HAS,280003,280830,281933,280829,281932,292598,shift_transition,overlap with DFB,true
255,s_82,HVF,454243,457299,DVF,HVF,HAS,457300,458125,458222,458124,458221,466125,shift_transition,overlap with DFB,true
265,s_84,HVF,151773,191313,DVF,HVF,HAS,191314,192142,192743,192141,192742,205511,shift_transition,overlap with DFB,true
278,s_90,HVF,1956,12475,DVF,HVF,HAS,12476,13306,13807,13305,13806,27581,shift_transition,overlap with DFB,true
281,s_90,HVF,265647,275181,DVF,HVF,HPE,275182,276011,276539,276010,276538,278985,shift_transition,overlap with DFB,true
283,s_91,hvf,1,4185,Dvf,hvf,hpe,4186,5027,6292,5026,6291,7271,remove,noisy,false
291,s_92,HVF,631270,641541,DVF,HVF,HPE,641542,642371,642788,642370,642787,650104,shift_transition,overlap with DFB,true
294,s_94,HVF,1,1241,DVF,HVF,HAS,1242,2071,2537,2070,2536,13787,shift_transition,overlap with DFB,true
296,s_95,HVT,282688,292539,DVT,HVT,HAS,292540,293368,293880,293367,293879,301823,shift_transition,overlap with DFB,true
303,s_100,HVF,199117,215529,DVF,HVF,HPE,215530,216357,217033,216356,217032,249303,shift_transition,overlap with DFB,true
308,s_103,HVF,188346,197461,DVF,HVF,HAS,197462,198290,198310,198289,198309,206087,shift_transition,overlap with DFB,true
313,a_170,HVT,227651,277282,DVT,HVT,HPR,277283,278113,279097,278112,279096,884766,shift_transition,overlap with DFB,true
315,a_173,HVT,710096,713284,DVT,HVT,HPE,713285,714111,714623,714110,714622,716792,shift_transition,overlap with DFB,true
322,a_181,HVF,708736,715844,DVF,HVF,HPE,715845,716670,717061,716669,717060,721867,shift_transition,overlap with DFB,true
323,a_181,HPE,853842,888351,DPE,HPE,HAS,888352,889180,889491,889179,889490,896242,shift_transition,overlap with DFB,true
324,a_186,HVF,130427,137372,DVF,HVF,HPR,137373,138201,138629,138200,138628,189636,shift_transition,overlap with DFB,true
329,l_216,HVF,12275,22221,DVF,HVF,HAS,22222,23050,23555,23049,23554,25035,shift_transition,overlap with DFB,true
332,l_216,HVF,131302,159706,DVF,HVF,HAS,159707,160535,161136,160534,161135,171422,shift_transition,overlap with DFB,true
334,l_216,HVF,217854,245237,DVF,HVF,HAS,245238,246065,246415,246064,246414,249008,shift_transition,overlap with DFB,true
335,l_216,HVF,269660,277238,DVF,HVF,HPE,277239,278065,278290,278064,278289,281105,shift_transition,overlap with DFB,true
338,l_216,HVF,396722,404192,DVF,HVF,HAS,404193,405020,405234,405019,405233,408272,shift_transition,overlap with DFB,true
341,l_216,HVF,507427,515831,DVF,HVF,HAS,515832,516660,516818,516659,516817,528401,shift_transition,overlap with DFB,true
345,l_220,HVF,96290,106477,DVF,HVF,HAS,106478,107307,107677,107306,107676,111862,shift_transition,overlap with DFB,true
349,l_226,HVF,82724,131747,DVF,HVF,HAS,131748,132575,133004,132574,133003,180174,shift_transition,overlap with DFB,true
351,l_226,HVF,329851,341743,DVF,HVF,HAS,341744,342570,342975,342569,342974,347221,shift_transition,overlap with DFB,true
352,l_226,HVF,347222,354809,DVF,HVF,HAS,354810,355635,356037,355634,356036,369352,shift_transition,overlap with DFB,true
354,l_226,HVF,509227,522498,DVF,HVF,HAS,522499,523325,523712,523324,523711,531006,shift_transition,overlap with DFB,true
366,a_270,HVF,206525,214821,DVF,HVF,HAS,214822,215649,216301,215648,216300,219615,shift_transition,overlap with DFB,true
369,a_271,HVF,219662,228147,DVF,HVF,HAS,228148,228977,229576,228976,229575,229756,shift_transition,overlap with DFB,true
383,a_287,HVF,106212,113607,DVF,HVF,HAS,113608,114437,115055,114436,115054,117845,shift_transition,overlap with DFB,true
386,a_287,HVF,723462,774395,DVF,HVF,HPE,774396,775227,775949,775226,775948,788710,shift_transition,overlap with DFB,true
387,a_291,HVF,134968,149569,DVF,HVF,HAS,149570,150398,150860,150397,150859,155737,shift_transition,overlap with DFB,true
390,a_291,HVF,447510,474249,DVF,HVF,HAS,474250,475078,475675,475077,475674,481739,shift_transition,overlap with DFB,true
392,a_291,HVF,697051,700898,DVF,HVF,HAS,700899,701728,702127,701727,702126,704115,shift_transition,overlap with DFB,true
393,a_292,HVF,110716,118312,DVF,HVF,HAS,118313,119142,119632,119141,119631,122808,shift_transition,overlap with DFB,true
398,a_295,HVF,454003,459324,DVF,HVF,HAS,459325,460153,460903,460152,460902,465504,shift_transition,overlap with DFB,true
405,a_302,HVF,231712,239544,DVF,HVF,HPR,239545,240373,241555,240372,241554,265979,shift_transition,overlap with DFB,true
