file,EPI,Start,Stop
S_1,hun,1,11188
S_1,HVF,11189,19352
S_1,DVF,19353,20192
S_1,HVF,20193,21272
S_1,HAS,21273,22846
S_1,CAS,22847,38680
S_1,HAS,38681,40186
S_1,CAS,40187,43580
S_1,HAS,43581,45727
S_1,CAS,45728,49123
S_1,HAS,49124,51289
S_1,CAS,51290,55075
S_1,HAS,55076,56823
S_1,CAS,56824,56855
S_1,HAS,56856,59036
S_1,CAS,59037,62728
S_1,HAS,62729,65524
S_1,CAS,65525,69337
S_1,HAS,69338,71336
S_1,CAS,71337,75237
S_1,HAS,75238,77328
S_1,CAS,77329,80859
S_1,CVF,80860,81211
S_1,HVF,81212,83819
S_1,CVF,83820,87941
S_1,HVF,87942,98341
S_1,DVF,98342,99182
S_1,HVF,99183,99797
S_1,HAS,99798,110361
S_1,CAS,110362,112232
S_1,CVF,112233,114527
S_1,HVF,114528,116157
S_1,CVF,116158,120491
S_1,HVF,120492,126780
S_1,CVF,126781,131003
S_1,HVF,131004,132506
S_1,CVF,132507,136757
S_1,HVF,136758,138633
S_1,CVF,138634,142637
S_1,HVF,142638,144413
S_1,CVF,144414,148451
S_1,HVF,148452,151540
S_1,CVF,151541,152446
S_1,HVF,152447,166140
S_1,CVF,166141,170565
S_1,HVF,170566,172370
S_1,CVF,172371,176599
S_1,HVF,176600,179194
S_1,CVF,179195,189056
S_1,HVF,189057,190772
S_1,CVF,190773,194973
S_1,HVF,194974,197171
S_1,CVF,197172,201536
S_1,HVF,201537,205162
S_1,CVF,205163,209409
S_1,HVF,209410,211868
S_1,CVF,211869,216519
S_1,HVF,216520,224252
S_1,DVF,224253,225092
S_1,HVF,225093,225845
S_1,HAS,225846,233027
S_1,CAS,233028,236941
S_1,HAS,236942,238534
S_1,CAS,238535,242561
S_1,HAS,242562,244264
S_1,CAS,244265,248311
S_1,HAS,248312,250077
S_1,CAS,250078,252960
S_1,CVF,252961,254125
S_1,HVF,254126,255912
S_1,CVF,255913,259887
S_1,HVF,259888,261455
S_1,CVF,261456,265520
S_1,HVF,265521,267221
S_1,CVF,267222,271255
S_1,HVF,271256,273017
S_1,CVF,273018,277083
S_1,HVF,277084,278966
S_1,CVF,278967,282790
S_1,HVF,282791,284922
S_1,CVF,284923,288684
S_1,HVF,288685,290422
S_1,CVF,290423,294295
S_1,HVF,294296,296186
S_1,CVF,296187,299989
S_1,HVF,299990,301904
S_1,CVF,301905,305769
S_1,HVF,305770,307882
S_1,CVF,307883,311662
S_1,HVF,311663,324771
S_1,DVF,324772,325612
S_1,HVF,325613,326260
S_1,HAS,326261,336096
S_1,CAS,336097,339690
S_1,HAS,339691,344460
S_1,CAS,344461,347674
S_1,HAS,347675,352649
S_1,CAS,352650,356978
S_1,HAS,356979,366459
S_1,CAS,366460,368564
S_1,HAS,368565,372500
a_2,hun,1,34010
a_2,HVF,34011,34327
a_2,CVF,34328,38658
a_2,HVF,38659,42480
a_2,CVF,42481,43900
a_2,HVF,43901,48759
a_2,CVF,48760,50158
a_2,HVF,50159,55029
a_2,CVF,55030,58509
a_2,HVF,58510,60890
a_2,CVF,60891,64206
a_2,HVF,64207,66631
a_2,CVF,66632,69815
a_2,HVF,69816,77680
a_2,CVF,77681,81102
a_2,HVF,81103,88484
a_2,DVF,88485,89325
a_2,HVF,89326,89909
a_2,HPE,89910,93133
a_2,CPE,93134,99688
a_2,HPE,99689,120737
a_2,CPE,120738,121389
a_2,HPE,121390,128375
a_2,CPE,128376,137025
a_2,HPE,137026,139830
a_2,CPE,139831,146124
a_2,HPE,146125,155108
a_2,CPE,155109,162112
a_2,HPE,162113,163860
a_2,CPE,163861,167475
a_2,HPE,167476,169996
a_2,CPE,169997,184800
a_2,CVF,184801,184873
a_2,HVF,184874,187811
a_2,CVF,187812,191391
a_2,HVF,191392,193685
a_2,CVF,193686,196406
a_2,HVF,196407,197944
a_2,CVF,197945,198650
a_2,HVF,198651,203654
a_2,CVF,203655,209127
a_2,HVF,209128,211118
a_2,CVF,211119,211617
a_2,HVF,211618,213174
a_2,CVF,213175,216308
a_2,HVF,216309,218709
a_2,CVF,218710,227703
a_2,HVF,227704,229511
a_2,CVF,229512,235361
a_2,HVF,235362,238078
a_2,CVF,238079,244922
a_2,HVF,244923,244952
a_2,HVT,244953,250423
a_2,CVT,250424,251507
a_2,HVT,251508,255818
a_2,DVT,255819,256660
