files,EPI,SMP_start,SMP_stop,EPI_1,SMP_start_1,SMP_stop_1,EPI_2,SMP_start_2,SMP_stop_2
S_1,un,1,11188,VF,11189,19352,dfb,19353,20192
S_1,VF,11189,19352,dfb,19353,20192,VF,20193,21272
S_1,dfb,19353,20192,VF,20193,21272,AS,21273,22846
S_1,VF,20193,21272,AS,21273,22846,CAS,22847,38680
S_1,AS,21273,22846,CAS,22847,38680,AS,38681,40186
S_1,CAS,22847,38680,AS,38681,40186,CAS,40187,43580
S_1,AS,38681,40186,CAS,40187,43580,AS,43581,45727
S_1,CAS,40187,43580,AS,43581,45727,CAS,45728,49123
S_1,AS,43581,45727,CAS,45728,49123,AS,49124,51289
S_1,CAS,45728,49123,AS,49124,51289,CAS,51290,55075
S_1,AS,49124,51289,CAS,51290,55075,AS,55076,56823
S_1,CAS,51290,55075,AS,55076,56823,CAS,56824,56855
S_1,AS,55076,56823,CAS,56824,56855,AS,56856,59036
S_1,CAS,56824,56855,AS,56856,59036,CAS,59037,62728
S_1,AS,56856,59036,CAS,59037,62728,AS,62729,65524
S_1,CAS,59037,62728,AS,62729,65524,CAS,65525,69337
S_1,AS,62729,65524,CAS,65525,69337,AS,69338,71336
S_1,CAS,65525,69337,AS,69338,71336,CAS,71337,75237
S_1,AS,69338,71336,CAS,71337,75237,AS,75238,77328
S_1,CAS,71337,75237,AS,75238,77328,CAS,77329,80859
S_1,AS,75238,77328,CAS,77329,80859,CVF,80860,81211
S_1,CAS,77329,80859,CVF,80860,81211,VF,81212,83819
S_1,CVF,80860,81211,VF,81212,83819,CVF,83820,87941
S_1,VF,81212,83819,CVF,83820,87941,VF,87942,98341
S_1,CVF,83820,87941,VF,87942,98341,dfb,98342,99182
S_1,VF,87942,98341,dfb,98342,99182,VF,99183,99797
S_1,dfb,98342,99182,VF,99183,99797,AS,99798,110361
S_1,VF,99183,99797,AS,99798,110361,CAS,110362,112232
S_1,AS,99798,110361,CAS,110362,112232,CVF,112233,114527
S_1,CAS,110362,112232,CVF,112233,114527,VF,114528,116157
S_1,CVF,112233,114527,VF,114528,116157,CVF,116158,120491
S_1,VF,114528,116157,CVF,116158,120491,VF,120492,126780
S_1,CVF,116158,120491,VF,120492,126780,CVF,126781,131003
S_1,VF,120492,126780,CVF,126781,131003,VF,131004,132506
S_1,CVF,126781,131003,VF,131004,132506,CVF,132507,136757
S_1,VF,131004,132506,CVF,132507,136757,VF,136758,138633
S_1,CVF,132507,136757,VF,136758,138633,CVF,138634,142637
S_1,VF,136758,138633,CVF,138634,142637,VF,142638,144413
S_1,CVF,138634,142637,VF,142638,144413,CVF,144414,148451
S_1,VF,142638,144413,CVF,144414,148451,VF,148452,151540
S_1,CVF,144414,148451,VF,148452,151540,CVF,151541,152446
S_1,VF,148452,151540,CVF,151541,152446,VF,152447,166140
S_1,CVF,151541,152446,VF,152447,166140,CVF,166141,170565
S_1,VF,152447,166140,CVF,166141,170565,VF,170566,172370
S_1,CVF,166141,170565,VF,170566,172370,CVF,172371,176599
S_1,VF,170566,172370,CVF,172371,176599,VF,176600,179194
S_1,CVF,172371,176599,VF,176600,179194,CVF,179195,189056
S_1,VF,176600,179194,CVF,179195,189056,VF,189057,190772
S_1,CVF,179195,189056,VF,189057,190772,CVF,190773,194973
S_1,VF,189057,190772,CVF,190773,194973,VF,194974,197171
S_1,CVF,190773,194973,VF,194974,197171,CVF,197172,201536
S_1,VF,194974,197171,CVF,197172,201536,VF,201537,205162
S_1,CVF,197172,201536,VF,201537,205162,CVF,205163,209409
S_1,VF,201537,205162,CVF,205163,209409,VF,209410,211868
