index,file,Start,Stop,EPI,EPI_NEXT,Class
1,a_10,511757,517689,HPE,HPR,0
2,a_11,431931,433757,HPE,HVF,1
3,a_11,732799,739384,HPE,HVF,1
4,a_11,848675,869441,HPE,HVF,1
5,a_12,249273,263997,HPE,HVF,1
6,a_12,269773,273774,HPE,HPR,0
7,a_12,322641,332115,HPE,HVF,1
8,a_12,341533,344022,HPE,HVF,1
9,a_13,494846,497005,HPE,HAS,1
10,a_13,539764,542641,HPE,HPR,0
11,a_13,570105,578219,HPE,HPR,0
12,a_14,555515,557923,HPE,HVF,1
13,a_14,665845,670269,HPE,HVF,1
14,a_148,186,98797,HPE,HPR,0
15,a_150,310595,340228,HPE,HPR,0
16,a_150,512009,513629,HPE,HPR,0
17,a_150,676343,788746,HPE,HVF,1
18,a_151,792547,833773,HPE,HAS,1
19,a_151,848226,912869,HPE,HAS,1
20,a_151,924652,968006,HPE,HAS,1
21,a_151,994445,1048436,HPE,HAS,1
22,a_153,799428,926983,HPE,HAS,1
23,a_153,1024359,1084579,HPE,HAS,1
24,a_166,351252,354024,HPE,HPR,0
25,a_166,1534324,1548979,HPE,HAS,1
26,a_17,651792,655332,HPE,HVT,1
27,a_17,756493,763160,HPE,HVT,1
28,a_17,1111912,1123744,HPE,HAS,1
29,a_17,1326622,1470080,HPE,HAS,1
30,a_17,1496569,1515655,HPE,HAS,1
31,a_172,132957,184587,HPE,HAS,1
32,a_172,669044,689620,HPE,HVF,1
33,a_173,430219,439164,HPE,HVT,1
34,a_173,1090240,1110726,HPE,HVF,1
35,a_179,622585,625752,HPE,HPR,0
37,a_18,580008,873678,HPE,HAS,1
38,a_181,603494,606195,HPE,HAS,1
39,a_181,853842,888351,HPE,HAS,1
40,a_182,642808,647583,HPE,HAS,1
41,a_182,667745,688753,HPE,HAS,1
42,a_182,721061,742423,HPE,HAS,1
43,a_183,338271,339969,HPE,HPR,0
44,a_189,104903,117015,HPE,HAS,1
45,a_189,140591,143730,HPE,HAS,1
46,a_189,296557,307112,HPE,HAS,1
48,a_19,79661,88191,HPE,HPR,0
49,a_19,141088,143749,HPE,HPR,0
50,a_19,286557,288506,HPE,HPR,0
51,a_19,368109,373891,HPE,HPR,0
52,a_19,409854,411993,HPE,HPR,0
53,a_191,201011,203907,HPE,HPR,0
54,a_2,457313,466699,HPE,HVT,1
55,a_2,826803,829500,HPE,HPR,0
56,a_2,1121525,1141336,HPE,HVT,1
57,a_20,537041,539164,HPE,HVF,1
58,a_21,321930,324734,HPE,HPR,0
59,a_23,654775,664027,HPE,HAS,1
60,a_23,824567,831421,HPE,HAS,1
62,a_25,217274,225477,HPE,HVF,1
63,a_25,526582,528980,HPE,HVF,1
64,a_25,535665,540060,HPE,HVF,1
65,a_25,545721,559071,HPE,HVF,1
66,a_25,769004,775785,HPE,HAS,1
68,a_26,174645,177483,HPE,HVF,1
69,a_26,461436,465000,HPE,HAS,1
70,a_26,762987,804143,HPE,HAS,1
71,a_27,254655,260410,HPE,HPR,0
72,a_27,393968,401966,HPE,HVT,1
73,a_27,914678,916637,HPE,HVF,1
74,a_270,371587,418426,HPE,HVF,1
75,a_270,529972,570911,HPE,HAS,1
76,a_271,342632,350673,HPE,HVF,1
77,a_271,476995,479771,HPE,HAS,1
78,a_271,691186,698077,HPE,HVF,1
79,a_271,703790,720964,HPE,HAS,1
80,a_271,814154,818977,HPE,HPR,0
81,a_275,300494,315420,HPE,HVF,1
83,a_276,232631,238215,HPE,HAS,1
84,a_279,202921,207929,HPE,HPR,0
85,a_281,1,119133,HPE,HAS,1
86,a_281,387584,400505,HPE,HPR,0
87,a_282,97861,104538,HPE,HVF,1
88,a_282,217113,220593,HPE,HVF,1
89,a_287,345244,358595,HPE,HPR,0
90,a_288,126743,149739,HPE,HVF,1
91,a_288,1022544,1027937,HPE,HPR,0
92,a_288,1176530,1193613,HPE,HPR,0
93,a_288,1217930,1231318,HPE,HPR,0
94,a_29,39108,42369,HPE,HAS,1
95,a_290,261819,264539,HPE,HPR,0
96,a_292,431223,441100,HPE,HVF,1
97,a_292,452138,457203,HPE,HPR,0
98,a_295,555725,567981,HPE,HAS,1
99,a_297,327240,333024,HPE,HVF,1
100,a_297,605419,609901,HPE,HVF,1
101,a_298,114585,138063,HPE,HAS,1
102,a_298,239269,242307,HPE,HPR,0
103,a_299,937612,949061,HPE,HAS,1
104,a_3,99417,103716,HPE,HPR,0
105,a_30,649227,651408,HPE,HPR,0
106,a_306,297723,302408,HPE,HPR,0
107,a_32,558403,560438,HPE,HPR,0
108,a_32,970056,975769,HPE,HAS,1
109,a_34,198062,208850,HPE,HPR,0
111,a_34,742924,747478,HPE,HPR,0
112,a_38,638298,640132,HPE,HVF,1
