index,file,Start,Stop,EPI,EPI_NEXT,Class
0,S_1,11189,19352,HVF,HAS,1
1,S_1,87942,98341,HVF,HAS,1
2,S_1,216520,224252,HVF,HAS,1
3,S_1,311663,324771,HVF,HAS,1
4,a_10,235347,247092,HVF,HAS,1
5,a_10,343097,349169,HVF,HAS,1
6,a_10,478915,483082,HVF,HPE,1
7,a_10,503735,510814,HVF,HPE,1
8,a_11,111332,123981,HVF,HAS,1
9,a_11,128356,132447,HVF,HAS,1
10,a_11,256353,262944,HVF,HAS,1
11,a_11,265276,268571,HVF,HAS,1
12,a_11,320682,324974,HVF,HPE,1
13,a_11,376708,381756,HVT,HVF,1
14,a_11,551433,562736,HVF,HPE,1
15,a_11,696507,731257,HVF,HPE,1
16,a_11,774250,784126,HVF,HPE,1
17,a_11,838272,847081,HVF,HPE,1
18,a_11,912346,917020,HVF,HPE,1
19,a_11,1131966,1138676,HVF,HAS,1
20,a_12,106070,109243,HVF,HPE,1
21,a_12,263998,268461,HVF,HPE,1
22,a_12,336985,340374,HVF,HPE,1
23,a_12,344023,346402,HVF,HPE,1
24,a_12,386455,389228,HVF,HPE,1
25,a_12,466275,469334,HVF,HAS,1
26,a_12,567327,573278,HVF,HAS,1
27,a_12,688815,691806,HVF,HAS,1
29,a_12,732759,739361,HVF,HAS,1
30,a_12,749915,753776,HVF,HAS,1
33,a_12,1064580,1066872,HVF,HAS,1
34,a_12,1089350,1139221,HVF,HAS,1
35,a_13,72699,82351,HVF,HAS,1
36,a_13,359160,371231,HVF,HVT,1
37,a_13,397893,402647,HVT,HPE,1
39,a_13,530353,538655,HVF,HPE,1
40,a_13,555041,570104,HVF,HPE,1
41,a_14,96115,102480,HVF,HAS,1
43,a_14,311458,317872,HVT,HAS,1
44,a_14,424930,430844,HVF,HAS,1
45,a_15,299294,306723,HVF,HPE,1
46,a_155,1405343,1449002,HVF,HAS,1
48,a_162,62,1856,HVF,HAS,1
49,a_162,147573,152047,HVF,HAS,1
